Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
wicket,Clean,Smounted,494,0,6,0,0.0,0.0,nan,nan,0.0,250.99363136291504
chromium,Noise,RF,20852,3,111,4,0.034782608695652174,0.00014385039558858787,0.5714285714285714,0.06557377049180328,0.06722656564842427,1.1341042518615723
chromium,Noise,RF_Tuning,20836,19,102,13,0.11304347826086956,0.0009110525053943898,0.40625,0.17687074829931973,0.20310618969689812,15824.058808803558
chromium,Noise,Smounted,18143,2712,33,82,0.7130434782608696,0.13004075761208345,0.02934860415175376,0.056376761773805434,0.7837241920635944,550.3686127662659
chromium,farsectwo,RF,20853,2,113,2,0.017391304347826087,9.590026372572525e-05,0.5,0.03361344537815126,0.034187978137597066,1.0663042068481445
chromium,farsectwo,RF_Tuning,20841,14,107,8,0.06956521739130435,0.0006713018460800767,0.36363636363636365,0.11678832116788321,0.13007561764814873,15568.007739067078
chromium,farsectwo,Smounted,17385,3470,31,84,0.7304347826086957,0.1663869575641333,0.023635340461451885,0.04578904333605887,0.7786206427723105,521.0578339099884
chromium,Clean,RF,20429,61,382,98,0.20416666666666666,0.002977061981454368,0.6163522012578616,0.3067292644757433,0.33892875704464387,1.1499316692352295
chromium,Clean,RF_Tuning,20438,52,402,78,0.1625,0.002537823328452904,0.6,0.2557377049180328,0.2794704982092237,21159.07285308838
chromium,Clean,Smounted,16812,3678,146,334,0.6958333333333333,0.17950219619326502,0.08325024925224327,0.14870881567230632,0.7530409523771207,1111.5048542022705
